Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,SR,PF,PFD,PIR,EFF,+/-
6,Matteo Molteni,21:05,2,1,1,100.0%,0,0,0.0%,1,1,100.0%,0,2,0.0%,0,5,5,0,1,6,0,0,2,0,8,10,7
8,Andrea Lucantoni,08:56,0,0,2,0.0%,0,0,0.0%,0,2,0.0%,0,0,0.0%,0,0,0,0,0,1,0,0,3,0,-4,-1,5
9,Stefano Nava,19:34,9,2,8,25.0%,1,4,25.0%,1,4,25.0%,4,4,100.0%,0,0,0,3,1,2,0,0,1,0,6,7,-1
11,Lorenzo Maraffio,13:46,10,3,7,42.9%,0,1,0.0%,3,6,50.0%,4,5,80.0%,1,1,2,0,2,1,0,0,2,0,4,6,5
12,Stefano Biavaschi,22:07,14,5,10,50.0%,0,3,0.0%,5,7,71.4%,4,5,80.0%,1,6,7,2,3,7,2,0,0,0,23,23,7
13,Alfredo Ratti,18:17,6,2,4,50.0%,0,1,0.0%,2,3,66.7%,2,4,50.0%,2,6,8,0,4,2,0,0,2,0,6,8,4
14,Giovanni Geronimi,12:56,2,1,3,33.3%,0,0,0.0%,1,3,33.3%,0,0,0.0%,1,1,2,0,1,3,0,0,2,0,2,4,1
16,Andrea Biavaschi,08:35,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,2,0,0,0,3,0,-5,-2,-1
18,Maxwuel Farovini,17:40,4,1,5,20.0%,1,4,25.0%,0,1,0.0%,1,4,25.0%,0,2,2,0,4,0,0,0,0,0,-5,-5,11
20,Simone Allievi,7:37,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,2,0.0%,1,0,1,1,1,1,0,0,1,0,-1,0,-1
21,Federico Geronimi,15:29,8,3,9,33.3%,1,2,50.0%,2,7,28.6%,1,2,50.0%,0,1,1,0,2,0,0,0,1,0,-1,0,-1
23,Mirko Donà,33:58,8,4,17,23.5%,0,6,0.0%,4,11,36.4%,0,0,0.0%,3,2,5,2,3,5,0,0,0,0,4,4,9
,Totale,,63,22,66,33.3%,3,21,14.3%,19,45,42.2%,16,28,57.1%,9,24,33,8,24,28,2,0,17,0,37,54,-
Avversari,Totale,Casa,54,,,,,,,,,,,,,,,,,,,,,,,,,
