Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,SR,PF,PFD,PIR,EFF,+/-
5,Alessandro Sceffer,15:26,0,0,3,0.0%,0,0,0.0%,0,3,0.0%,0,0,0.0%,1,0,1,1,3,1,0,0,1,0,-4,-3,-6
8,Daniele Del Barba,06:00,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,1,1,0,1,0,0,0,1,0,-1,0,-14
9,Leonardo Gianera,10:51,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,1,1,0,7,0,0,0,0,0,-6,-6,-18
12,Guglielmo Bolotta,15:16,0,0,1,0.0%,0,0,0.0%,0,1,0.0%,0,0,0.0%,0,0,0,0,5,1,0,0,0,0,-5,-5,-27
14,Andrea Tavasci,09:37,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,3,0,0,0,0,0,-3,-3,-19
15,Emanuele Ravo,22:13,4,2,6,33.3%,0,1,0.0%,2,5,40.0%,0,0,0.0%,1,3,4,1,3,3,1,0,1,0,5,6,-25
17,Giuseppe Sala Danna,25:27,6,2,9,22.2%,0,1,0.0%,2,8,25.0%,2,2,100.0%,1,0,1,0,4,3,0,0,1,0,-2,-1,-23
21,Lorenzo Balatti,27:26,12,5,7,71.4%,0,1,0.0%,5,6,83.3%,2,4,50.0%,2,6,8,1,5,2,0,0,0,0,14,14,-17
22,Mouhammadou Ka,15:13,0,0,1,0.0%,0,0,0.0%,0,1,0.0%,0,0,0.0%,0,0,0,1,3,1,0,0,2,0,-4,-2,-12
23,Matteo Pedrini,15:53,4,1,5,20.0%,0,0,0.0%,1,5,20.0%,2,2,100.0%,1,2,3,0,4,1,0,0,0,0,0,0,-23
24,Francesco Garbellini,14:12,0,0,3,0.0%,0,0,0.0%,0,3,0.0%,0,0,0.0%,0,0,0,3,2,2,0,0,0,0,0,0,-15
50,Andrea Papa,22:21,4,2,9,22.2%,0,0,0.0%,2,9,22.2%,0,2,0.0%,2,0,2,1,3,3,1,0,2,0,-3,-1,-21
,Totale,,30,12,44,27.3%,0,3,0.0%,12,41,29.3%,6,10,60.0%,8,13,21,8,43,17,2,0,8,0,-9,-1,-
Avversari,Totale,Trasferta,74,,,,,,,,,,,,,,,,,,,,,,,,
