Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,SR,PF,PFD,PIR,EFF,+/-
6,Matteo Molteni,35:27,12,4,10,40.0%,3,5,60.0%,1,5,20.0%,1,2,50.0%,1,1,2,4,1,3,0,0,2,0,11,13,8
7,Enrico Vavassori,02:54,0,0,1,0.0%,0,1,0.0%,0,0,0.0%,0,0,0.0%,0,1,1,0,0,0,0,0,1,0,-1,0,-6
8,Andrea Lucantoni,00:00,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,-
12,Stefano Biavaschi,30:51,22,8,26,30.8%,2,9,22.2%,6,17,35.3%,4,6,66.7%,3,1,4,4,2,8,0,0,3,0,13,16,10
13,Alfredo Ratti,22:58,4,2,6,33.3%,0,1,0.0%,2,5,40.0%,0,0,0.0%,5,2,7,1,0,3,0,0,4,0,7,11,7
14,Giovanni Geronimi,05:39,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,1,0.0%,0,0,0,2,0,0,0,0,0,0,1,1,-3
16,Antonio Fulghieri,18:43,0,0,4,0.0%,0,0,0.0%,0,4,0.0%,0,0,0.0%,2,3,5,0,0,1,0,0,4,0,-2,2,20
18,Maxwuel Farovini,10:33,3,1,5,20.0%,1,3,33.3%,0,2,0.0%,0,0,0.0%,0,2,2,1,0,0,2,0,0,0,4,4,-5
20,Simone Allievi,03:35,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,-4
21,Federico Geronimi,20:41,8,2,7,28.6%,0,4,0.0%,2,3,66.7%,4,4,100.0%,0,1,1,0,0,0,0,0,2,0,2,4,-3
22,Nicola Scaramellini,13:17,1,0,1,0.0%,0,0,0.0%,0,1,0.0%,1,2,50.0%,1,1,2,0,0,0,0,0,3,0,-2,1,-2
23,Mirko Donà,35:22,21,7,18,38.9%,2,6,33.3%,5,12,41.7%,5,7,71.4%,4,1,5,1,0,3,0,0,4,0,13,17,13
,Totale,,71,24,78,30.8%,8,29,27.6%,16,49,32.7%,15,22,68.2%,16,13,29,13,3,19,2,0,23,0,47,70,-
Avversari,Totale,Trasferta,64,,,,,,,,,,,,,,,,,,,,,,,,
