Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,SR,PF,PFD,PIR,EFF,+/-
6,Matteo Molteni,31:01,5,2,6,33.3%,0,1,0.0%,2,5,40.0%,1,2,50.0%,1,10,11,3,3,8,0,0,0,0,19,19,17
7,Enrico Vavassori,10:56,7,3,8,37.5%,1,1,100.0%,2,7,28.6%,0,1,0.0%,2,2,4,0,2,3,0,0,0,0,6,6,11
8,Andrea Lucantoni,09:26,2,1,4,25.0%,0,0,0.0%,1,4,25.0%,0,0,0.0%,0,0,0,0,1,0,0,0,1,0,-3,-2,9
9,Stefano Nava,11:45,4,2,7,28.6%,0,1,0.0%,2,6,33.3%,0,0,0.0%,0,2,2,1,0,0,0,0,1,0,1,2,4
10,Samuele Martinucci,09:29,0,0,2,0.0%,0,2,0.0%,0,0,0.0%,0,0,0.0%,0,2,2,0,2,0,0,0,0,0,-2,-2,2
11,Lorenzo Maraffio,14:30,5,2,7,28.6%,1,2,50.0%,1,5,20.0%,0,0,0.0%,1,2,3,1,2,1,0,0,0,0,3,3,20
12,Stefano Biavaschi,15:52,8,4,8,50.0%,0,2,0.0%,4,6,66.7%,0,2,0.0%,3,5,8,4,3,2,0,0,3,0,10,13,19
13,Alfredo Ratti,13:26,5,2,5,40.0%,0,1,0.0%,2,4,50.0%,1,2,50.0%,3,3,6,1,0,0,1,0,4,0,5,9,7
18,Maxwuel Farovini,19:03,8,3,7,42.9%,2,5,40.0%,1,2,50.0%,0,0,0.0%,2,6,8,1,0,1,5,0,0,0,19,19,23
20,Simone Allievi,13:59,5,2,7,28.6%,1,1,100.0%,1,6,16.7%,0,0,0.0%,0,1,1,0,2,1,0,0,4,0,-4,0,15
21,Federico Geronimi,23:02,2,1,11,9.1%,0,2,0.0%,1,9,11.1%,0,0,0.0%,5,1,6,2,1,2,0,0,2,0,-1,1,16
23,Mirko Donà,27:31,11,5,20,25.0%,1,4,25.0%,4,16,25.0%,0,1,0.0%,4,6,10,3,1,9,0,0,1,0,15,16,17
,Totale,,62,27,92,29.3%,6,22,27.3%,21,70,30.0%,2,8,25.0%,21,40,61,16,17,27,6,0,16,0,68,84,-
Avversari,Totale,Casa,30,,,,,,,,,,,,,,,,,,,,,,,,
