Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,SR,PF,PFD,PIR,EFF,+/-
6,Matteo Molteni,33:13,6,2,9,22.2%,0,2,0.0%,2,7,28.6%,2,5,40.0%,3,3,6,3,2,2,1,0,2,0,4,6,3
7,Enrico Vavassori,11:27,2,1,2,50.0%,0,0,0.0%,1,2,50.0%,0,2,0.0%,0,1,1,0,0,0,0,0,0,0,0,0,-8
8,Andrea Lucantoni,03:18,2,1,1,100.0%,0,0,0.0%,1,1,100.0%,0,0,0.0%,0,0,0,1,0,0,0,0,2,0,1,3,2
9,Stefano Nava,22:32,8,3,14,21.4%,1,5,20.0%,2,9,22.2%,1,2,50.0%,0,1,1,0,3,0,0,0,0,0,-6,-6,-15
10,Samuele Martinucci,03:32,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,1,1,0,0,0,0,0,0,0,1,1,-7
11,Lorenzo Maraffio,15:49,13,2,6,33.3%,0,3,0.0%,2,3,66.7%,9,10,90.0%,0,1,1,2,4,2,0,0,3,0,6,9,6
13,Alfredo Ratti,23:16,6,3,7,42.9%,0,1,0.0%,3,6,50.0%,0,1,0.0%,4,5,9,0,2,2,1,0,5,0,6,11,-8
14,Giovanni Geronimi,04:34,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,1,1,0,0,0,0,0,1,0,0,1,8
17,Luca Del Curto,21:24,3,1,3,33.3%,0,0,0.0%,1,3,33.3%,1,1,100.0%,2,7,9,1,1,1,0,0,1,0,10,11,-11
18,Maxwuel Farovini,15:49,3,1,4,25.0%,1,3,33.3%,0,1,0.0%,0,0,0.0%,0,4,4,1,1,1,0,0,2,0,3,5,-5
21,Federico Geronimi,19:52,5,2,3,66.7%,0,0,0.0%,2,3,66.7%,1,4,25.0%,0,4,4,2,4,1,0,0,1,0,3,4,3
23,Mirko Donà,25:14,9,3,11,27.3%,0,5,0.0%,3,6,50.0%,3,7,42.9%,1,5,6,0,4,3,0,0,4,0,-2,2,-3
,Totale,,57,19,60,31.7%,2,19,10.5%,17,41,41.5%,17,32,53.1%,10,33,43,10,21,12,2,0,21,0,26,47,-
Avversari,Totale,Trasferta,64,,,,,,,,,,,,,,,,,,,,,,,,
